stimulus_id,relative_path,git_blob_sha,creator,source_url,licence,permission_status,review_status,reviewed_on,notes
clock,assets/images/objects/clock.jpg,dd2eddf6521663579aace7a724afc18542ca1b7c,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
lamp,assets/images/objects/lamp.jpg,5b4ab6961295c58ccc7a3314c9efde1a70f2ea0e,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
book,assets/images/objects/book.jpg,574ba6d04e1bc8b6bc155b1ea7ca7a9af2d798d0,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
key,assets/images/objects/key.jpg,1dfc93d1ac81b5c48670594fef1209ee94fd958b,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
cup,assets/images/objects/cup.jpg,84487627b8d37f42ebfcb040a8952cfe47b9ffb0,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
chair,assets/images/objects/chair.jpg,e6191f1e0a6ee347cfdc7a189db3e792168144a5,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
apple,assets/images/objects/apple.jpg,1396be57274454bc6a063e48c402b2bf232b0011,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
pencil,assets/images/objects/pencil.jpg,30e105dfb25c5d9ec3edf8ee2fcc1d41ae653158,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
bag,assets/images/objects/bag.jpg,257a477db03ddc22e3bfd7a1985933aaba2f14fd,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
bottle,assets/images/objects/bottle.jpg,f7f76804b8a45bfc58b66bf1241f4ba8f4990bc3,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
basket,assets/images/objects/basket.jpg,0115eb07acddbe8e3975cd1b420b957e39888cb8,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
scissors,assets/images/objects/scissors.jpg,3a24d8f376fb6346a1e63242af06a1925f7c1f7e,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
ruler,assets/images/objects/ruler.jpg,d9070d82f27109061d8330a5ee4df5f347325da6,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
umbrella,assets/images/objects/umbrella.jpg,58d095e32cdd6d5d3d37149559d0b408d08b1d27,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
shoe,assets/images/objects/shoe.jpg,2b7f49082b2453f008084f600ec76f9558013913,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
candle,assets/images/objects/candle.jpg,4bdd2cfbe909e465c2719c44e76cb1b657004bb7,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
plate,assets/images/objects/plate.jpg,76de0d449cacdd9aa502b607f4368a4be47b5366,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
box,assets/images/objects/box.jpg,12fb28135287f37fb205e8c2b0539fae11acbf07,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
spoon,assets/images/objects/spoon.jpg,65b198cbb28d7173cb14c23b095804c9ebf8a3ac,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
comb,assets/images/objects/comb.jpg,2c4b150fbeaa7747a001c2b8378619af4c873e97,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
toothbrush,assets/images/objects/toothbrush.jpg,5e0d50b36e2c74c1bb05ba45b393976006330988,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
bowl,assets/images/objects/bowl.jpg,4c739c7e6af80a647e0bb67d9dcab3409c7e2eb2,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
hat,assets/images/objects/hat.jpg,0dba0571ce2080880e5f5959b520240741fc173c,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
flower,assets/images/objects/flower.jpg,39141c48ba74f2de76c1556972902254e608220c,unknown,unknown,unknown,not_documented,blocked_pending_rightsholder_evidence,,Git blob identifier fixes file identity only; creator source and reuse permission remain unresolved
