target,final_filename,source_collection,source_filename,source_url,license_or_reuse_note,qc,notes
cup,cup.png,BOSS — Bank of Standardized Stimuli,mug01.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
chair,chair.png,BOSS — Bank of Standardized Stimuli,chair.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
key,key.png,BOSS — Bank of Standardized Stimuli,key01.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
bicycle,bicycle.png,BOSS — Bank of Standardized Stimuli,bicycle.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
spoon,spoon.png,BOSS — Bank of Standardized Stimuli,spoon01.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
umbrella,umbrella.png,BOSS — Bank of Standardized Stimuli,umbrella04.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
ladder,ladder.png,BOSS — Bank of Standardized Stimuli,ladder.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
kettle,kettle.png,BOSS — Bank of Standardized Stimuli,kettle01.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
scissors,scissors.png,BOSS — Bank of Standardized Stimuli,scissors01.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
anchor,anchor.png,BOSS — Bank of Standardized Stimuli,anchor.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
